"","runname","soil","precip.depth","runoff.depth","ET.depth","drainage.depth","runoff.precip","ET.precip","drainage.precip","amended.pixels","type","type.short","size","downspout.key","frontwalk.key","driveway.key","sidewalk.key","amended.area.m2","runoff.diff","ET.diff","drainage.diff","runoff.diff.precip","drainage.diff.precip","ET.diff.precip","runoff.diff.rel","ET.diff.rel","drainage.diff.rel"
"14","amend_feature_ds0_fw1_dw0_sw0","Measured Soil",744.2532,14.7881359112506,353.603862453038,391.601967048905,1.9869764632857,47.5112317223544,52.6167663167461,12,"Frontwalk","fw","s",0,1,0,0,3,-8.00732831507389e-06,0.157836130164696,-0.154041014575569,-1.07588765692561e-08,-0.000206973936525323,0.000212073162956769,7.42879566237716e-05,0.486298974600007,-3.19532615876506
"15","amend_feature_ds0_fw1_dw0_sw0","Loam Soil",744.2532,105.079064934628,372.724864990445,324.15796663127,14.1187253121153,50.0803846043853,43.5547964901287,12,"Frontwalk","fw","s",0,1,0,0,3,-0.448872296244232,0.106344864769198,0.325103717954335,-0.000603117724242546,0.000436818703573373,0.00014288801817607,0.661707410361376,0.42580103678464,0.435501159918428
"16","amend_feature_ds0_fw2_dw0_sw0","Loam Soil",744.2532,104.799562046901,372.817793505882,324.674913140981,14.0811705004293,50.0928707469289,43.6242549096169,24,"Frontwalk","fw","l",0,2,0,0,6,-0.728375183971025,0.199273380206535,0.842050227665027,-0.000978665841102228,0.00113140289845583,0.000267749443612113,1.07373803371174,0.797883490469191,1.12799033233205
"17","amend_feature_ds0_fw2_dw0_sw0","Measured Soil",744.2532,14.7879290798869,353.77214886249,391.495999880872,1.98694867282894,47.5338431682242,52.602528263348,24,"Frontwalk","fw","l",0,2,0,0,6,-0.000214838692038199,0.32612253961679,-0.260008182608658,-2.88663444158788e-07,-0.000349354470506352,0.000438187621654553,0.00199316511166363,1.00479564751181,-5.3934398554278
"18","amend_feature_ds0_fw2_dw0_sw0","Clay Loam Soil",744.2532,249.822055469413,387.923141347616,139.121136087738,33.5668097187104,52.1224687173151,18.6927158778407,24,"Frontwalk","fw","l",0,2,0,0,6,-1.75336114336952,0.199357269142013,1.85177513547805,-0.00235586644890411,0.00248809831852661,0.000267862159197989,1.52792742204518,1.8838731009314,0.931519937761912
"19","amend_feature_ds1_fw0_dw0_sw0","Measured Soil",744.2532,13.4822807175696,353.363094082364,392.912552235812,1.81151800456748,47.4788813917581,52.7928603109549,4,"Downspout","ds","s",1,0,0,0,1,-1.30586320100938,-0.0829322405088533,1.15654417233111,-0.00175459534605881,0.0015539660055625,-0.000111430143006242,12.1151406581571,-0.255517310761824,23.9905966459598
"20","amend_feature_ds1_fw0_dw0_sw0","Loam Soil",744.2532,101.432349331785,372.628324389136,328.298107637757,13.6287421178418,50.0674131315977,44.111077740446,4,"Downspout","ds","s",1,0,0,0,1,-4.09558789908714,0.00980426345995511,4.46524472444088,-0.00550294966697776,0.00599963120674641,1.31732902995313e-05,6.03753202255498,0.0392559203984036,5.98153496690183
"21","amend_feature_ds1_fw0_dw0_sw0","Clay Loam Soil",744.2532,249.692866021366,387.733327708034,139.760565937438,33.5494514529955,52.0969648109049,18.7786315110823,4,"Downspout","ds","s",1,0,0,0,1,-1.88255059141673,0.00954362955906163,2.49120498517851,-0.00252944910605252,0.00334725465094206,1.28230950959453e-05,1.64050668220311,0.0901847576912915,1.25317975616222
"22","amend_feature_ds1_fw1_dw1_sw1","Loam Soil",744.2532,96.4457063241359,373.378066505516,334.727593681095,12.958722424591,50.1681506381855,44.9749619727661,72,"All","a","s",1,1,1,1,18,-9.08223090673638,0.759546379840231,10.8947307677785,-0.0122031465994857,0.0146384735299472,0.00102054835617802,13.3886175286047,3.04119655165205,14.594320594737
"23","amend_feature_ds1_fw1_dw1_sw1","Measured Soil",744.2532,12.144370211839,354.459702046121,393.36493136345,1.63175250194947,47.626224790988,52.8536432713289,72,"All","a","s",1,1,1,1,18,-2.64377370673995,1.01367572324801,1.60892329996926,-0.00355225037223884,0.0021617956093024,0.00136200384929217,24.5276000585163,3.12317252252734,33.3744536934111
